report_month,payer,specialty,state,total_claims,approved_claims,denied_claims,billed_amount,allowed_amount,paid_amount,approval_rate,denial_rate,paid_to_allowed_ratio
2024-01-01,Commercial,Cardiology,AZ,2,2,0,3796.64,1456.12,1243.92,1.0,0.0,0.8542702524517212
2024-01-01,Commercial,Cardiology,FL,2,1,0,2077.94,1219.8600000000001,991.58,0.5,0.0,0.8128637712524388
2024-01-01,Commercial,Cardiology,GA,4,1,2,3367.59,3112.74,1275.45,0.25,0.5,0.40975153723086416
2024-01-01,Commercial,Cardiology,NC,9,7,2,8722.76,5691.8,3994.0,0.7777777777777778,0.2222222222222222,0.7017112337046277
2024-01-01,Commercial,Cardiology,TX,4,3,1,4581.78,3230.18,2213.19,0.75,0.25,0.6851599601260612
2024-01-01,Commercial,Orthopedics,AZ,5,5,0,4633.9400000000005,3073.4300000000003,2676.24,1.0,0.0,0.8707665377119373
2024-01-01,Commercial,Orthopedics,FL,3,2,0,3266.45,3427.4,2558.29,0.6666666666666666,0.0,0.7464229445060395
2024-01-01,Commercial,Orthopedics,GA,1,1,0,2572.97,321.27,246.88,1.0,0.0,0.7684502132162978
2024-01-01,Commercial,Orthopedics,NC,6,6,0,4335.52,5131.11,4695.650000000001,1.0,0.0,0.9151333727010337
2024-01-01,Commercial,Orthopedics,TX,5,2,1,3941.91,3148.84,1486.79,0.4,0.2,0.4721707041323154
2024-01-01,Commercial,Primary Care,AZ,12,10,1,15917.01,8492.72,6094.58,0.8333333333333334,0.08333333333333333,0.7176240356446463
2024-01-01,Commercial,Primary Care,FL,1,0,0,1039.67,620.68,557.39,0.0,0.0,0.8980311915963137
2024-01-01,Commercial,Primary Care,TX,5,5,0,5559.49,3544.86,2919.7,1.0,0.0,0.8236432468419063
2024-01-01,Commercial,Radiology,AZ,4,4,0,2941.06,2241.52,1816.69,1.0,0.0,0.8104723580427567
2024-01-01,Commercial,Radiology,FL,7,4,2,9153.57,4018.0,2241.62,0.5714285714285714,0.2857142857142857,0.5578944748631159
2024-01-01,Commercial,Radiology,GA,6,5,0,7634.75,5040.09,4088.69,0.8333333333333334,0.0,0.811233529559988
2024-01-01,Commercial,Radiology,TX,9,8,1,9482.25,7494.86,5945.1,0.8888888888888888,0.1111111111111111,0.793223622589348
2024-01-01,Medicaid,Cardiology,AZ,1,1,0,1445.81,355.38,324.96,1.0,0.0,0.9144014857335809
2024-01-01,Medicaid,Cardiology,FL,4,3,1,5234.860000000001,2661.38,1754.59,0.75,0.25,0.6592782691686268
2024-01-01,Medicaid,Cardiology,GA,3,2,1,3072.55,2083.45,1430.05,0.6666666666666666,0.3333333333333333,0.6863855624085051
2024-01-01,Medicaid,Cardiology,NC,5,5,0,7381.22,1746.94,1449.24,1.0,0.0,0.8295877362702783
2024-01-01,Medicaid,Cardiology,TX,3,3,0,3659.21,1294.85,1057.26,1.0,0.0,0.8165115650461444
2024-01-01,Medicaid,Orthopedics,AZ,2,2,0,1907.46,2217.96,2023.8799999999999,1.0,0.0,0.9124961676495518
2024-01-01,Medicaid,Orthopedics,GA,3,1,1,2589.0,2885.08,1429.53,0.3333333333333333,0.3333333333333333,0.49549059298182374
2024-01-01,Medicaid,Orthopedics,NC,1,1,0,1653.01,755.6,679.14,1.0,0.0,0.8988088935944945
2024-01-01,Medicaid,Orthopedics,TX,6,5,1,6764.84,3026.33,1685.35,0.8333333333333334,0.16666666666666666,0.556895645881315
2024-01-01,Medicaid,Primary Care,AZ,11,8,2,11821.88,7257.83,5327.67,0.7272727272727273,0.18181818181818182,0.7340582515710619
2024-01-01,Medicaid,Primary Care,FL,3,3,0,4482.37,2622.75,2109.2200000000003,1.0,0.0,0.8042016966924032
2024-01-01,Medicaid,Primary Care,GA,2,2,0,2142.2200000000003,1312.46,1254.08,1.0,0.0,0.9555186443777334
2024-01-01,Medicaid,Primary Care,NC,4,3,1,6219.17,2086.9700000000003,1553.15,0.75,0.25,0.7442129019583414
2024-01-01,Medicaid,Primary Care,TX,6,3,2,6995.84,3135.05,1715.92,0.5,0.3333333333333333,0.5473341732986715
2024-01-01,Medicaid,Radiology,AZ,3,2,1,4091.4399999999996,1601.81,948.9,0.6666666666666666,0.3333333333333333,0.5923923561471086
2024-01-01,Medicaid,Radiology,FL,3,3,0,3826.99,2514.0600000000004,2273.12,1.0,0.0,0.9041629873590923
2024-01-01,Medicaid,Radiology,GA,12,8,2,25219.09,7894.469999999999,5721.97,0.6666666666666666,0.16666666666666666,0.7248073651556091
2024-01-01,Medicaid,Radiology,NC,2,2,0,1174.8200000000002,575.8499999999999,465.48,1.0,0.0,0.80833550403751
